date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:09	474307/474307	---M--	200	added ('OK')	image/jpeg	etag:052df3ca06dd734ab3e61ee07d44f8a4	http://static.showit.co/1600/VX5xEpxMQHm_H66DTfYgNg/65601/e_and_dwed0949.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/VX5xEpxMQHm_H66DTfYgNg/65601/e_and_dwed0949.jpg	(from https://amandaseasholtz.com/weddings)
13:16:48	236714/236714	---M--	200	added ('OK')	image/jpeg	etag:c7414833b2a488d68bfd75712eeb89ae	http://static.showit.co/1600/0xsot1OnRHGn_wnKpf-V_Q/65601/e_and_dwed1261.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/0xsot1OnRHGn_wnKpf-V_Q/65601/e_and_dwed1261.jpg	(from https://amandaseasholtz.com/weddings)
13:17:23	941280/941280	---M--	200	added ('OK')	image/jpeg	etag:47e07f20be18840110016074ece7f4bb	http://static.showit.co/1600/bR9DzDhpSy22IgNG4xQmZg/65601/e_and_dwed0913.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/bR9DzDhpSy22IgNG4xQmZg/65601/e_and_dwed0913.jpg	(from https://amandaseasholtz.com/weddings)
13:17:28	806097/806097	---M--	200	added ('OK')	image/jpeg	etag:6157eaec1ffc2e7cb085630bd4fa8354	http://static.showit.co/1600/tCb_R9ZLRgyJV-gMvU-PYA/65601/e_and_dwed0985.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/tCb_R9ZLRgyJV-gMvU-PYA/65601/e_and_dwed0985.jpg	(from https://amandaseasholtz.com/weddings)
13:17:43	601889/601889	---M--	200	added ('OK')	image/jpeg	etag:3ea600bc969d1f2af684bf1ccdb03fbe	http://static.showit.co/1600/rP_RDDMyQyy6dOiWICd_BA/65601/e_and_dwed1023.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/rP_RDDMyQyy6dOiWICd_BA/65601/e_and_dwed1023.jpg	(from https://amandaseasholtz.com/weddings)
13:18:05	471717/471717	---M--	200	added ('OK')	image/jpeg	etag:fa5183f02b45d22a37516418c6d513bf	http://static.showit.co/1600/1G0XTU8zSWOZ1251cR43UQ/65601/e_and_dwed1271.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/1G0XTU8zSWOZ1251cR43UQ/65601/e_and_dwed1271.jpg	(from https://amandaseasholtz.com/weddings)
13:18:26	259303/259303	---M--	200	added ('OK')	image/jpeg	etag:9d4df28124661d3a6bcbe7b145ddafd9	http://static.showit.co/1600/82bIYKt_Q6Oj7bff8YT8Og/65601/e_and_dwed1335.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/82bIYKt_Q6Oj7bff8YT8Og/65601/e_and_dwed1335.jpg	(from https://amandaseasholtz.com/weddings)
13:18:37	455018/455018	---M--	200	added ('OK')	image/jpeg	etag:1a5a54b6608a1ac46abbbdcf36e159e1	http://static.showit.co/1600/X9d9zOkUSxO6Lfwi-WPS4g/65601/e_and_dwed1310.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/X9d9zOkUSxO6Lfwi-WPS4g/65601/e_and_dwed1310.jpg	(from https://amandaseasholtz.com/weddings)
13:19:34	552722/552722	---M--	200	added ('OK')	image/jpeg	etag:829b492961bf603ff848dc6dc4d33dae	http://static.showit.co/1600/K5RaLvVkRG6_tXg4DI6iqg/65601/e_and_dwed1353.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/K5RaLvVkRG6_tXg4DI6iqg/65601/e_and_dwed1353.jpg	(from https://amandaseasholtz.com/weddings)
13:19:59	932465/932465	---M--	200	added ('OK')	image/jpeg	etag:dcd1fd1fab871a2cd971b48c072bfa5b	http://static.showit.co/1600/io3bscGxRhiKLxJEWEXz9Q/65601/e_and_dwed1324.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/io3bscGxRhiKLxJEWEXz9Q/65601/e_and_dwed1324.jpg	(from https://amandaseasholtz.com/weddings)
13:20:13	661378/661378	---M--	200	added ('OK')	image/jpeg	etag:dfb0cd8ad82b3cabd7bf27d386a3f1f0	http://static.showit.co/1600/3orbwkF4Qgq4C8ohSBb8PA/65601/e_and_dwed1441.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/3orbwkF4Qgq4C8ohSBb8PA/65601/e_and_dwed1441.jpg	(from https://amandaseasholtz.com/weddings)
